bricklink_minifig_id,avg_price,min_price,max_price
njo0068,13.4523,3.4000,67.0700
njo0069,102.8768,32.0000,408.7180
njo0070,26.2251,8.1757,97.2616
njo0071,18.5498,4.2179,100.1000
njo0072,3.4463,0.7262,18.5700
njo0073,32.2373,5.8405,233.6203
njo0074,52.3553,10.7153,177.0725
njo0075,8.9324,3.7500,50.7900
njo0076,79.8491,31.6059,387.8600
njo0077,4.4889,1.6340,20.9500
njo0078,17.9089,9.9900,75.0900
njo0079,74.0805,23.1776,299.9900
njo0080,23.7306,4.3572,45.4791
njo0081,4.7081,1.4524,26.9400
njo0082,4.4023,1.7522,29.6000
njo0083,4.5082,1.7429,40.3500
njo0084,3.6436,2.1415,16.9000
njo0085,42.9343,24.6400,137.2400
njo0086,22.2672,10.8858,83.7700
njo0087,21.6188,5.8288,53.8232
njo0088,10.7375,3.0174,99.1200
njo0089,11.1172,1.1564,32.4700
njo0090,5.5569,1.9531,57.4100
njo0091,6.3612,1.4601,22.0289
njo0092,13.7680,6.7984,79.8600
njo0093,2.3611,0.4556,15.0000
njo0094,46.9586,21.3183,122.5677
njo0095,44.3537,24.8714,129.3808
njo0096,7.0550,2.9048,36.0500
njo0097,22.2499,9.6393,36.9540
njo0098,6.1253,3.3291,60.3400
njo0099,23.9454,11.6070,38.0000
njo0100,18.2015,9.4664,67.1500
njo0101,5.1942,1.5000,57.9100
njo0103,19.7838,4.7409,70.0300
njo0104,41.6469,14.7905,188.3700
njo0105,32.0555,15.8029,68.0629
njo0106,46.5857,16.7211,248.3100
njo0107,97.9529,50.0000,408.7180
njo0108,711.4683,374.9900,3005.3300
njo0109,6.6864,2.4092,36.1300
njo0110,47.0668,28.0000,182.4400
njo0111,22.0088,6.8131,112.2400
njo0112,8.6770,4.1108,35.6300
njo0113,15.3706,5.8096,87.8600
njo0114,10.4923,1.6751,95.9000
njo0114a,12.5529,2.3362,100.8100
njo0115,2.8563,0.7189,29.9900
njo0116,50.2214,10.2197,196.0400
njo0117,5.1872,1.0220,50.1800
njo0118,35.9646,19.9900,70.3505
njo0119,7.1180,1.6760,41.3500
njo0120,2.6677,0.6813,17.5200
njo0121,13.5448,4.0884,76.6700
njo0122,3.3376,1.1564,36.3500
njo0123,19.5566,3.4375,156.3300
njo0124,10.2459,2.8125,38.9000
njo0125,4.8728,1.2857,37.7900
njo0126,13.6954,4.4388,67.7200
njo0127,13.9130,3.4066,99.4000
njo0128,17.4646,7.8248,40.8105
njo0129,50.8798,21.0153,283.3400
njo0130,3.9543,1.1885,18.7400
njo0131,32.2524,10.5129,109.1200
njo0132,8.8686,3.8126,30.6800
njo0133,33.4473,17.2424,125.4150
njo0134,3.9457,1.3626,22.2300
njo0135,19.5368,4.6329,107.7600
njo0136,6.7476,1.8106,41.3900
njo0137,10.8352,2.1644,71.7700
njo0138,3.4529,0.5841,32.5500
njo0139,5.9811,2.2194,37.9500
njo0140,8.5544,2.6563,52.6300
njo0141,3.4377,1.0938,23.2600
njo0142,4.6652,1.4298,37.5800
njo0143,7.2195,2.9203,34.8800
njo0144,3.5853,1.0938,16.4200
njo0145,4.9813,2.2171,19.8800
njo0146,3.3277,1.2857,25.2500
njo0147,5.6314,1.8774,39.3200
njo0148,15.0067,1.1681,72.2000
njo0149,5.7372,2.3362,36.3300
njo0150,6.5476,2.6206,41.4000
njo0151,68.0361,27.9227,111.0098
njo0152,27.7689,4.9012,164.3400
njo0153,18.3504,6.7617,68.0629
njo0154,153.5003,49.5579,408.7180
njo0155,4.7439,2.3245,29.0700
njo0156,4.3371,2.2686,25.5900
njo0157,22.6474,7.8096,108.9415
njo0158,31.3885,14.3973,251.4400
njo0159,17.8683,3.5043,130.1200
njo0160,40.1361,11.6810,265.7500
njo0161,27.3205,7.2982,236.0600
njo0162,13.7662,2.3362,57.9900
njo0163,40.1105,24.5399,174.5000
njo0164,10.4491,5.5000,17.7653
njo0165,11.3785,4.2052,81.4200
njo0166,7.4139,3.9264,31.3000
njo0167,64.8628,23.4376,125.0000
njo0168,15.4605,8.9900,58.8200
njo0169,3.3978,1.5000,14.7600
njo0170,26.5736,14.9752,46.7124
njo0171,7.1808,4.2548,26.4200
njo0172,24.3550,16.9900,70.3400
njo0173,5.6640,3.3291,17.9500
njo0174,6.0308,2.3438,59.7000
njo0175,8.6741,4.4966,33.1950
njo0176,8.3269,3.6993,29.6700
njo0177,10.6848,3.2376,75.1200
njo0178,3.8832,1.4308,31.8800
njo0179,25.5916,3.5510,130.8200
njo0180,6.8622,2.5000,51.9400
njo0182,4.3935,2.4305,27.4800
njo0183,4.0855,1.8155,29.4300
njo0184,24.9784,9.8474,48.1000
njo0185,26.4234,6.7661,226.6800
njo0186,318.3425,180.0000,838.7100
njo0187,9.0471,1.6353,96.4900
njo0188,10.8955,2.7252,137.0400
njo0189,45.5720,10.9419,196.2000
njo0190,6.6888,3.2707,39.6000
njo0191,7.7165,3.6241,48.0100
njo0192,43.0524,26.5870,61.4774
njo0193,21.8465,8.0305,57.4100
njo0194,8.9535,2.3362,36.4900
njo0195,37.8434,17.2881,199.9400
njo0196,2.0527,0.4688,8.0000
njo0197,4.1756,1.7597,37.2000
njo0198,4.9674,1.1681,25.9800
njo0199a,8.7729,1.7578,68.4000
njo0200,15.6139,4.6724,47.2500
njo0201,27.8014,7.4367,69.9693
njo0202,4.5236,1.1681,33.6900
njo0203,2.1945,0.6249,15.0000
njo0204,34.6675,18.9635,81.6891
njo0205,4.7300,1.4234,23.5100
njo0206,4.0988,0.9375,48.0000
njo0208,6.3149,2.5900,32.1000
njo0209,19.2731,4.6071,99.8000
njo0210,26.4888,11.5498,47.6550
njo0211,3.2635,0.9734,24.1600
njo0212,7.6949,2.3362,69.9400
njo0213,25.8702,6.2500,99.7200
njo0214,7.9472,1.6063,26.1700
njo0215,2.5979,1.1097,25.0000
njo0217,8.1243,3.4375,52.9200
njo0218,36.2961,17.9286,102.1300
njo0219,4.2006,1.1681,200.0000
njo0220,87.0194,23.9955,149.9500
njo0221,25.3913,10.9334,217.6500
njo0222,3.3386,1.1000,34.6600
njo0223,59.5120,22.4050,305.2900
njo0224,31.9401,9.0000,58.5000
njo0225,8.8544,2.4535,101.8100
njo0226,57.9488,28.0000,204.3250
njo0227,60.6713,33.5313,232.1900
njo0228,103.8501,35.0430,379.1600
njo0229,40.5282,19.1492,167.5800
njo0230,10.6072,3.9941,59.2400
njo0231,9.8498,3.4066,62.3500
njo0233,4.6437,1.1681,29.6200
